house_id,house_location,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_rotation,vector,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio
0,Moreton_Bay_Mixed,6,55.092,1,13.526,4.838,2.796,176.536,187.9,1.064,-50,-0.766,16.363,11.483,1.425
1,Moreton_Bay_Mixed,10,56.886,1,9.657,1.89,5.11,170.884,203.407,1.19,-62,-0.883,14.465,14.062,1.029
2,Moreton_Bay_Mixed,28,81.11,1,8.436,0.555,15.21,300.058,399.656,1.332,90,1,24.224,16.498,1.468
3,Moreton_Bay_Mixed,10,56.935,1,10.377,1.488,6.971,153.298,204.957,1.337,-50,-0.766,15.428,13.285,1.161
4,Moreton_Bay_Mixed,8,52.668,1,11.241,1.434,7.838,144.034,162.011,1.125,-82,-0.99,16.756,9.669,1.733
5,Moreton_Bay_Mixed,8,84.226,1,13.961,5.051,2.764,373.933,406.085,1.086,8,0.139,28.105,14.449,1.945
6,Moreton_Bay_Mixed,10,60.356,1,11.832,2.453,4.824,166.572,210.421,1.263,-80,-0.985,19.559,10.758,1.818
7,Moreton_Bay_Mixed,4,54.257,1,14.21,12.852,1.106,180.2,185.412,1.029,10,0.174,15.7,11.81,1.329
8,Moreton_Bay_Mixed,4,39.977,1,10.754,9.225,1.166,94.68,95.21,1.006,-54,-0.809,12.314,7.732,1.593
9,Moreton_Bay_Mixed,12,58.926,1,11.865,0.586,20.262,193.481,218.98,1.132,-54,-0.809,16.432,13.327,1.233
10,Moreton_Bay_Mixed,12,74.787,1,14.05,1.372,10.241,296.349,349.534,1.179,8,0.139,21.136,16.537,1.278
11,Moreton_Bay_Mixed,10,59.488,1,11.818,1.87,6.319,166.471,180.414,1.084,-80,-0.985,14.677,12.292,1.194
12,Moreton_Bay_Mixed,8,58.249,1,12.444,1.984,6.272,178.067,206.24,1.158,-80,-0.985,17.192,11.996,1.433
13,Moreton_Bay_Mixed,8,60.072,1,12.325,3.011,4.094,205.312,226.244,1.102,-82,-0.99,15.59,14.512,1.074
14,Moreton_Bay_Mixed,4,64.625,1,17.003,15.258,1.114,254.548,262.291,1.03,22,0.375,18.85,13.915,1.355
15,Moreton_Bay_Mixed,8,59.712,1,13.052,2.386,5.469,164.461,223.432,1.359,-24,-0.407,16.644,13.424,1.24
16,Moreton_Bay_Mixed,12,74.708,1,12.529,1.342,9.338,263.182,335.57,1.275,-82,-0.99,22.668,14.804,1.531
17,Moreton_Bay_Mixed,20,74.044,1,10.64,0.717,14.833,244.47,311.291,1.273,-82,-0.99,22.672,13.73,1.651
18,Moreton_Bay_Mixed,10,65.433,1,12.321,2.641,4.665,209.268,272.209,1.301,-82,-0.99,16.879,16.127,1.047
19,Moreton_Bay_Mixed,4,59.512,1,15.11,14.633,1.033,220.867,224.972,1.019,-80,-0.985,15.684,14.344,1.093
